Product,Store,RMSE,MAPE,Model Runtime,Model,Epochs
8017442,1096,10.3705791554149,160.9942592804697,95.680508852005,SARIMA,1
8017442,2177,5.7837227263019475,207.69572229171547,0.448282241821289,ARIMA,1
8017442,2177,5.487809609719945,183.3001533603651,60.730793952941895,SARIMA,1
8017442,2189,7.487221438527361,108.0205147742774,0.475269079208374,ARIMA,1
8017442,2189,7.161048584089003,97.14861829086168,157.08511018753052,SARIMA,1
8017442,3328,2.088651291248796,83.17628256694886,0.3843109607696533,ARIMA,1
8017442,3328,1.9323251194757285,85.49063467129035,51.922402143478394,SARIMA,1
8017442,3349,2.8405668161791566,105.00626492364982,0.3055739402770996,ARIMA,1
8017442,3349,2.822392580286427,97.22104713039164,56.07875323295593,SARIMA,1
8017442,3889,4.440090089241889,122.35835054166613,0.4152319431304931,ARIMA,1
8017442,3889,4.4199364705794855,121.53793888499436,87.88540625572205,SARIMA,1
8017442,4388,1.896661507798288,84.41270943985162,0.4276299476623535,ARIMA,1
8017442,4388,1.90103432604955,98.41060371064778,48.09034967422485,SARIMA,1
8017442,4816,1.130042249182048,83.46416509904093,0.3428869247436523,ARIMA,1
8017442,4816,0.9693481418391856,52.97531522342569,59.34945511817932,SARIMA,1
8017442,5136,2.4528458495255383,89.2657964371058,0.3874101638793945,ARIMA,1
8017442,5136,2.4430355508704524,89.60132716869803,74.84970593452454,SARIMA,1
8011605,1096,3.08645989062659,68.9206282967992,0.3659348487854004,ARIMA,1
8011605,1096,3.099633225310606,69.50888631848112,23.5148401260376,SARIMA,1
8011605,2177,4.009488898698899,4.487380574005924e+16,0.4615030288696289,ARIMA,1
8011605,2177,4.002240034711139,4.46736249223257e+16,63.082406759262085,SARIMA,1
8011605,2189,1.871310216645696,2.315778673485301e+16,0.5622050762176514,ARIMA,1
8011605,2189,1.8495600624641235,2.33783062643874e+16,62.379464864730835,SARIMA,1
8011605,3328,0.0,0.0,0.2331559658050537,ARIMA,1
8011605,3328,0.0,0.0,1.6184980869293213,SARIMA,1
8011605,3349,0.7362393474550981,33.11924053091069,0.4480040073394775,ARIMA,1
8011605,3349,0.6968843489746912,22.763708487836144,10.035100221633911,SARIMA,1
8011605,3889,1.5737244499319447,73.91294911100283,0.4376468658447265,ARIMA,1
8011605,3889,1.5567328241308844,72.87836628443797,100.0099790096283,SARIMA,1
8011605,4388,1.896661507798288,84.41270943985162,0.4397420883178711,ARIMA,1
8011605,4388,1.90103432604955,98.41060371064778,46.04160523414612,SARIMA,1
8011605,4816,1.130042249182048,83.46416509904093,0.3282508850097656,ARIMA,1
8011605,4816,0.9693481418391856,52.97531522342569,59.0590980052948,SARIMA,1
8011605,5136,1.3462912017398831,58.958333350091074,0.3816273212432861,ARIMA,1
8011605,5136,1.3122825019956488,66.66674210554928,45.97408699989319,SARIMA,1
